num_cities,num_procs,speed,num_cores,milestone,length,route
14,5,1.559994,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,8,1.939233,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,16,0.696400,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,9,2.219243,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,10,2.111321,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,32,1.624532,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,64,0.691919,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
15,1,3.733334,0,Milestone 2,1878.128785,0 14 13 12 2 6 4 3 8 11 7 5 10 9 1 
15,2,6.238181,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,5,4.023913,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,4,6.216778,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,32,3.700948,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,8,9.291468,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,64,2.699063,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,9,8.925293,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
15,10,8.632789,0,Milestone 2,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
16,1,27.499706,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
16,4,25.536225,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
16,2,47.506147,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
16,7,41.277820,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
16,6,43.545326,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
6,2,0.001515,0,Milestone 2,1568.914868,0 2 4 3 5 1 
17,1,571.957423,0,Milestone 2,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
6,1,0.002195,0,Milestone 2,1568.914868,0 2 4 3 5 1 
6,3,0.001764,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,4,0.009670,0,Milestone 2,1568.914868,0 2 4 3 5 1 
6,5,0.013333,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,6,0.013358,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,7,0.014988,0,Milestone 2,1568.914868,0 1 5 3 4 2 
16,5,49.598606,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
6,8,0.013166,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,16,0.016011,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,9,0.008948,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,10,0.008773,0,Milestone 2,1568.914868,0 1 5 3 4 2 
6,64,0.021282,0,Milestone 2,1568.914868,0 1 5 3 4 2 
12,1,0.194108,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
16,16,22.560901,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
12,2,0.234318,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,3,0.104375,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,4,0.192624,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,5,0.109950,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,6,0.419478,0,Milestone 2,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,7,0.196151,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,8,0.540476,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,10,0.121730,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
12,16,0.399474,0,Milestone 2,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
12,64,0.399053,0,Milestone 2,1734.490866,0 1 9 10 5 7 11 8 3 4 6 2 
13,1,1.052976,0,Milestone 2,1760.045085,0 12 2 6 4 3 8 11 7 5 10 9 1 
13,3,0.714622,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,4,0.347695,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,6,0.575405,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,5,0.437627,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,9,0.715418,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,8,0.481803,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,16,0.422794,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
16,9,49.804027,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
13,32,0.420988,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
17,1,305.588496,0,Milestone 2,1908.243606,0 14 13 12 2 6 4 3 16 8 11 7 15 5 10 9 1 
13,64,0.289874,0,Milestone 2,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
14,1,1.112330,0,Milestone 2,1760.101989,0 13 12 2 6 4 3 8 11 7 5 10 9 1 
14,2,1.745242,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
12,9,15.433801,0,Milestone 2,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
16,10,51.556532,0,Milestone 2,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
14,4,1.434644,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,3,1.819315,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,6,1.366907,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,9,2.005116,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,16,0.810113,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,10,1.566577,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
14,32,0.691578,0,Milestone 2,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
15,1,3.763642,0,Milestone 2,1878.128785,0 14 13 12 2 6 4 3 8 11 7 5 10 9 1 
