num_cities,num_procs,speed,num_cores,CPU,length,route
15,3,6.938405,64,Cluster,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
16,1,38.142217,32,Cluster,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
12,7,0.470346,4,Cluster,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
13,4,1.060326,2,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
12,8,0.438854,4,Cluster,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
14,2,4.455010,1,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
12,9,0.433896,4,Cluster,1734.490866,0 2 6 4 3 8 11 7 5 10 9 1 
13,5,1.440262,2,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
16,5,116.677185,2,Cluster,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
14,3,4.981152,1,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
13,6,1.149100,2,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
14,4,6.391654,1,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
15,4,8.597817,64,Cluster,1878.128785,0 1 9 10 5 7 11 8 3 4 6 2 12 13 14 
13,7,2.364850,2,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
16,8,120.757396,2,Cluster,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
13,8,2.586235,2,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,16,0.790995,2,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,10,2.415457,2,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
16,2,45.544226,32,Cluster,1878.164442,0 14 13 12 2 6 4 3 8 11 7 15 5 10 9 1 
13,32,1.416089,2,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
13,9,2.353017,2,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
14,5,8.777950,1,Cluster,1760.101989,0 1 9 10 5 7 11 8 3 4 6 2 12 13 
13,64,0.765876,2,Cluster,1760.045085,0 1 9 10 5 7 11 8 3 4 6 2 12 
